# sf_smoke baseline — /mnt/data/SteamLibrary/steamapps/common/Starfield/Data/ShatteredSpace.esm (variant=Tes5Plus game=Starfield hedr=0.9600)
# columns: scope	fourcc	grup_count	bytes_total	immediate_records	handled	byte_error
leaf	COBJ	122	0	0	1	0
leaf	CONT	69	0	0	1	0
leaf	CPTH	3	0	0	1	0
leaf	CSTY	7	0	0	1	0
leaf	DFOB	2	0	0	0	0
leaf	DIAL	9990	0	0	1	0
leaf	DLBR	10	0	0	0	0
leaf	DOOR	30	0	0	1	0
leaf	EFSH	16	0	0	1	0
leaf	EFSQ	162	0	0	0	0
leaf	ENCH	2	0	0	1	0
leaf	EXPL	54	0	0	1	0
leaf	FACT	68	0	0	1	0
leaf	FFKW	143	0	0	0	0
leaf	FLOR	2	0	0	1	0
leaf	FLST	59	0	0	1	0
leaf	FOGV	5	0	0	0	0
leaf	FSTP	10	0	0	0	0
leaf	FSTS	1	0	0	0	0
leaf	FURN	83	0	0	1	0
leaf	GBFM	24	0	0	0	0
leaf	GCVR	2	0	0	0	0
leaf	GLOB	188	0	0	1	0
leaf	GMST	28	0	0	1	0
leaf	GRAS	4	0	0	1	0
leaf	HAZD	6	0	0	0	0
leaf	HDPT	6	0	0	1	0
leaf	IDLE	94	0	0	1	0
leaf	IMAD	17	0	0	1	0
leaf	IMGS	40	0	0	1	0
leaf	INFO	17938	0	0	0	0
leaf	IPCT	241	0	0	1	0
leaf	IPDS	35	0	0	1	0
leaf	KEYM	49	0	0	1	0
leaf	KSSM	14	0	0	0	0
leaf	KYWD	456	0	0	0	0
leaf	LAYR	2555	0	0	0	0
leaf	LCRT	842	0	0	0	0
leaf	LCTN	188	0	0	0	0
leaf	LGDI	13	0	0	0	0
leaf	LIGH	97	0	0	1	0
leaf	LMSW	2610	0	0	0	0
leaf	LSCR	46	0	0	1	0
leaf	LTEX	13	0	0	1	0
leaf	LVLB	2	0	0	0	0
leaf	LVLI	363	0	0	1	0
leaf	LVLN	25	0	0	1	0
leaf	MATT	4	0	0	0	0
leaf	MESG	138	0	0	1	0
leaf	MGEF	44	0	0	1	0
leaf	MISC	46	0	0	1	0
leaf	MRPH	44	0	0	0	0
leaf	MSTT	164	0	0	1	0
leaf	MTPT	18	0	0	0	0
leaf	MUSC	19	0	0	1	0
leaf	MUST	19	0	0	0	0
leaf	NAVI	1	0	0	1	0
leaf	NAVM	29202	0	0	1	0
leaf	NPC_	679	0	0	1	0
leaf	OMOD	219	0	0	0	0
leaf	OTFT	68	0	0	1	0
leaf	PACK	568	0	0	1	0
leaf	PCBN	19	0	0	0	0
leaf	PCCN	88	0	0	0	0
leaf	PDCL	15	0	0	0	0
leaf	PERK	15	0	0	1	0
leaf	PGRE	4	0	0	0	0
leaf	PHZD	18	0	0	0	0
leaf	PKIN	1971	0	0	1	0
leaf	PNDT	11	0	0	0	0
leaf	PROJ	15	0	0	1	0
leaf	PTST	1	0	0	0	0
leaf	QUST	241	0	0	1	0
leaf	RACE	5	0	0	1	0
leaf	REFR	918610	0	0	0	0
leaf	RFGP	27660	0	0	0	0
leaf	SCCO	1	0	0	0	0
leaf	SCEN	1023	0	0	0	0
leaf	SECH	2	0	0	0	0
leaf	SFBK	47	0	0	0	0
leaf	SFPC	1	0	0	0	0
leaf	SFPT	6	0	0	0	0
leaf	SFTR	8	0	0	0	0
leaf	SMBN	16	0	0	0	0
leaf	SMEN	1	0	0	0	0
leaf	SMQN	56	0	0	0	0
leaf	SOUN	252	0	0	1	0
leaf	SPCH	23	0	0	0	0
leaf	SPEL	21	0	0	1	0
leaf	STAG	12	0	0	0	0
leaf	STAT	1291	0	0	1	0
leaf	STBH	3	0	0	0	0
leaf	STDT	1	0	0	0	0
leaf	SUNP	1	0	0	0	0
leaf	TERM	76	0	0	1	0
leaf	TMLM	122	0	0	0	0
leaf	TRNS	1	0	0	0	0
leaf	VOLI	2	0	0	0	0
leaf	VTYP	109	0	0	1	0
leaf	WATR	4	0	0	1	0
leaf	WEAP	27	0	0	1	0
leaf	WRLD	42	0	0	1	0
leaf	WTHS	6	0	0	0	0
leaf	WWED	102	0	0	0	0
leaf	ZOOM	4	0	0	0	0
