# harness=1293dfc0 engine=e6282349 (binary swapped in; harness+reporter from 4c9a5b36) mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
dugout	fsr-native-aa	3	renderer-stepped	orbit	90.6	11.04	4.24	0.62	5.192	0.428	0.038	0.047	0.312	0.218	0.013	0.041	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-quality	1	renderer-stepped	orbit	101.0	9.90	3.44	0.60	9.043	0.151	0.022	0.031	0.202	0.173	0.013	0.034	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-quality	2	renderer-stepped	orbit	103.4	9.67	2.84	0.63	9.433	0.152	0.022	0.033	0.203	0.208	0.012	0.037	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-quality	3	renderer-stepped	orbit	99.0	10.10	2.95	0.64	9.390	0.152	0.020	0.030	0.204	0.173	0.012	0.032	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-balanced	1	renderer-stepped	orbit	123.1	8.12	1.80	0.60	7.262	0.124	0.017	0.026	0.193	0.160	0.013	0.032	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-balanced	2	renderer-stepped	orbit	126.1	7.93	1.81	0.60	7.521	0.125	0.017	0.022	0.169	0.193	0.013	0.035	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-balanced	3	renderer-stepped	orbit	123.8	8.08	1.30	0.63	7.398	0.123	0.017	0.033	0.190	0.167	0.012	0.036	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-performance	1	renderer-stepped	orbit	139.4	7.17	0.47	0.63	4.599	0.099	0.013	0.022	0.134	0.395	0.012	0.029	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-performance	2	renderer-stepped	orbit	150.8	6.63	0.45	0.60	4.369	0.098	0.013	0.022	0.133	0.330	0.013	0.029	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
dugout	fsr-performance	3	renderer-stepped	orbit	147.0	6.80	0.37	0.61	4.630	0.099	0.153	0.018	0.134	0.156	0.013	0.035	5.000010	11592	1935/326b/12c	156	1818	4ec9c14b3038bcb8	taa,skin_palette
