scene	config	run	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	entities	draws
whiterun	fsr-quality	2	161.6	6.19	5.27	0.34	4.082	0.534	0.016	0.006	0.263	0.168	0.011	0.034	3406	1294/351b/10c
whiterun	fsr-quality	3	164.1	6.09	4.99	0.36	4.026	0.272	0.016	0.007	0.262	0.171	0.010	0.032	3406	1295/351b/10c
whiterun	fsr-balanced	1	196.0	5.10	4.25	0.34	2.825	0.238	0.012	0.005	0.450	0.161	0.010	0.030	3406	1294/351b/10c
whiterun	fsr-balanced	2	190.9	5.24	4.28	0.34	2.840	0.217	0.012	0.005	0.294	0.161	0.010	0.031	3406	1295/351b/10c
whiterun	fsr-balanced	3	191.8	5.21	4.34	0.34	3.186	0.218	0.011	0.005	0.262	0.160	0.010	0.030	3406	1293/351b/10c
whiterun	fsr-performance	1	233.6	4.28	3.32	0.36	2.476	0.170	0.010	0.005	0.263	0.154	0.010	0.029	3406	1292/351b/10c
whiterun	fsr-performance	2	224.9	4.45	3.55	0.33	2.293	0.168	0.010	0.005	0.261	0.150	0.010	0.028	3406	1292/351b/10c
whiterun	fsr-performance	3	255.6	3.91	3.01	0.35	2.315	0.168	0.009	0.005	0.261	0.153	0.010	0.028	3406	1293/351b/10c
medtek	taa	1	23.1	43.28	33.89	3.89	45.387	0.599	0.028	0.012	0.257	0.012	0.008	0.031	31495	14439/1596b/21c
medtek	taa	2	23.0	43.54	34.29	3.95	37.506	0.596	0.027	0.018	0.253	0.012	0.007	0.030	31495	14439/1310b/14c
medtek	taa	3	24.1	41.53	33.76	3.45	39.111	0.631	0.027	0.018	0.254	0.012	0.270	0.030	31495	14439/1310b/14c
medtek	fsr-native-aa	1	24.4	40.95	33.00	3.70	36.868	0.595	0.025	0.017	0.253	0.520	0.010	0.039	31495	14439/1310b/14c
medtek	fsr-native-aa	2	24.1	41.43	33.24	3.43	34.840	0.592	0.024	0.019	0.253	0.212	0.009	0.038	31495	14439/1310b/14c
medtek	fsr-native-aa	3	15.6	63.92	50.90	3.44	89.704	0.599	0.029	0.013	0.256	0.217	0.011	0.041	31495	14439/1831b/42c
medtek	fsr-quality	1	46.3	21.59	12.69	3.49	17.187	0.280	0.012	0.012	0.251	0.160	0.009	0.030	31495	14439/1622b/21c
medtek	fsr-quality	2	48.1	20.79	13.61	3.59	16.222	0.283	0.013	0.012	0.252	0.162	0.010	0.034	31495	14439/1310b/14c
medtek	fsr-quality	3	39.9	25.07	14.99	3.95	24.519	0.272	0.013	0.006	0.259	0.186	0.009	0.031	31495	14535/4156b/162c
medtek	fsr-balanced	1	51.2	19.55	9.88	3.82	22.047	0.230	0.011	0.024	0.255	0.166	0.010	0.030	31495	14439/2336b/60c
medtek	fsr-balanced	2	52.6	19.02	8.92	3.83	13.342	0.228	0.011	0.011	0.252	0.158	0.009	0.030	31495	14439/1597b/21c
medtek	fsr-balanced	3	54.6	18.31	9.96	3.68	15.301	0.232	0.011	0.011	0.252	0.156	0.009	0.028	31495	14439/1379b/14c
medtek	fsr-performance	1	66.7	14.99	6.79	3.81	9.947	0.175	0.008	0.010	0.252	0.147	0.009	0.026	31495	14439/1310b/14c
medtek	fsr-performance	2	68.0	14.72	6.67	3.44	10.082	0.178	0.010	0.010	0.295	0.150	0.009	0.031	31495	14439/1597b/21c
medtek	fsr-performance	3	70.6	14.17	6.35	3.94	10.351	0.177	0.019	0.010	0.251	0.151	0.009	0.041	31495	14439/1310b/14c
dugout	taa	1	29.0	34.46	32.06	0.89	44.544	0.597	0.032	0.013	0.252	0.012	0.008	0.030	6978	2471/1260b/41c
dugout	taa	2	32.0	31.27	29.12	0.85	28.210	0.648	0.030	0.040	0.245	0.012	0.007	0.147	6978	2471/121b/9c
dugout	taa	3	31.9	31.39	29.29	0.83	29.001	0.640	0.160	0.039	0.245	0.019	0.008	0.029	6978	2471/121b/9c
dugout	fsr-native-aa	1	31.4	31.81	29.42	0.87	28.890	0.674	0.355	0.040	0.245	0.222	0.010	0.047	6978	2471/121b/9c
dugout	fsr-native-aa	2	31.6	31.61	29.44	0.84	28.318	0.609	0.031	0.040	0.248	0.847	0.010	0.044	6978	2471/121b/9c
dugout	fsr-native-aa	3	31.9	31.33	29.01	0.84	28.427	0.610	0.030	0.039	0.241	0.599	0.010	0.050	6978	2471/121b/9c
dugout	fsr-quality	1	63.8	15.68	13.75	0.79	12.942	0.288	0.015	0.022	0.242	0.168	0.010	0.031	6978	2471/121b/9c
dugout	fsr-quality	2	62.9	15.90	13.73	0.82	13.629	0.291	0.015	0.023	0.253	0.166	0.009	0.032	6978	2471/121b/9c
dugout	fsr-quality	3	63.7	15.71	14.14	0.71	13.711	0.327	0.015	0.022	0.247	0.167	0.010	0.032	6978	2471/121b/9c
dugout	fsr-balanced	1	76.8	13.02	10.90	0.83	11.271	0.234	0.013	0.018	0.239	0.165	0.010	0.030	6978	2471/121b/9c
dugout	fsr-balanced	2	77.1	12.97	11.08	0.79	10.795	0.232	0.012	0.018	0.240	0.161	0.009	0.032	6978	2471/121b/9c
dugout	fsr-balanced	3	77.1	12.97	11.38	0.72	10.581	0.232	0.012	0.018	0.241	0.164	0.010	0.031	6978	2471/121b/9c
dugout	fsr-performance	1	98.2	10.18	8.09	0.83	7.934	0.178	0.010	0.014	0.244	0.159	0.010	0.029	6978	2471/121b/9c
dugout	fsr-performance	2	99.2	10.09	8.27	0.78	7.996	0.181	0.010	0.015	0.241	0.158	0.009	0.028	6978	2471/121b/9c
dugout	fsr-performance	3	99.0	10.10	8.57	0.70	8.605	0.177	0.010	0.014	0.240	0.157	0.011	0.027	6978	2471/121b/9c
