# harness=1293dfc0 engine=4c9a5b36 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
prospector	fsr-native-aa	3	renderer-stepped	orbit	78.1	12.81	10.35	0.26	6.886	0.409	0.042	0.061	0.258	0.227	0.013	0.038	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-quality	1	renderer-stepped	orbit	104.5	9.57	7.39	0.25	8.011	0.197	0.022	0.032	0.152	0.177	0.013	0.036	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-quality	2	renderer-stepped	orbit	104.3	9.59	7.35	0.24	7.789	0.199	0.023	0.031	0.188	0.176	0.013	0.036	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-quality	3	renderer-stepped	orbit	104.4	9.58	7.44	0.25	7.980	0.196	0.023	0.032	0.155	0.170	0.012	0.032	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-balanced	1	renderer-stepped	orbit	121.3	8.25	6.00	0.25	7.103	0.160	0.018	0.026	0.124	0.168	0.013	0.035	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-balanced	2	renderer-stepped	orbit	116.0	8.62	6.26	0.26	6.836	0.160	0.018	0.026	0.126	0.169	0.012	0.033	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-balanced	3	renderer-stepped	orbit	121.9	8.20	6.05	0.24	7.041	0.160	0.018	0.026	0.125	0.169	0.013	0.036	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-performance	1	renderer-stepped	orbit	153.7	6.50	4.43	0.23	4.974	0.124	0.014	0.019	0.094	0.151	0.012	0.029	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-performance	2	renderer-stepped	orbit	141.8	7.05	4.79	0.26	4.995	0.124	0.014	0.020	0.095	0.151	0.013	0.029	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
prospector	fsr-performance	3	renderer-stepped	orbit	141.3	7.08	4.67	0.27	5.403	0.126	0.016	0.020	0.095	0.160	0.012	0.035	5.000010	3146	928/54b/6c	25	928	dbdb702d07ade18b	taa,depth_history_copy
whiterun	taa	1	renderer-stepped	orbit	94.4	10.60	7.23	0.40	5.971	0.439	0.045	0.063	1.030	0.013	0.012	0.041	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	skin_palette
whiterun	taa	2	renderer-stepped	orbit	93.1	10.74	7.53	0.38	5.076	0.798	0.043	0.063	0.807	0.013	0.012	0.378	5.000010	5765	1260/239b/12c	18	1235	d39f37b2efd8c3b4	skin_palette
