# harness=1293dfc0e engine=cb44d99f6 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
prospector	fsr-native-aa	2	renderer-stepped	orbit	81.2	12.31	9.58	0.23	8.613	0.483	0.046	0.063	0.261	0.345	0.014	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-native-aa	3	renderer-stepped	orbit	80.3	12.45	9.90	0.22	8.846	0.408	0.043	0.063	0.260	0.564	0.016	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	1	renderer-stepped	orbit	89.2	11.21	8.67	0.22	8.536	0.197	0.025	0.032	0.154	0.169	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	2	renderer-stepped	orbit	88.5	11.30	8.74	0.22	8.506	0.197	0.025	0.055	0.177	0.169	0.013	0.033	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-quality	3	renderer-stepped	orbit	88.8	11.27	8.71	0.22	8.301	0.197	0.025	0.032	0.155	0.169	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	1	renderer-stepped	orbit	97.5	10.25	7.64	0.22	8.440	0.186	0.019	0.026	0.125	0.161	0.013	0.032	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	2	renderer-stepped	orbit	98.8	10.12	7.66	0.22	8.162	0.159	0.020	0.026	0.121	0.162	0.014	0.031	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-balanced	3	renderer-stepped	orbit	97.4	10.26	7.76	0.21	8.359	0.160	0.020	0.027	0.122	0.162	0.013	0.062	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-performance	1	renderer-stepped	orbit	118.5	8.44	5.91	0.22	6.672	0.124	0.016	0.020	0.095	0.151	0.013	0.030	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-performance	2	renderer-stepped	orbit	116.4	8.59	5.89	0.22	6.714	0.126	0.016	0.020	0.095	0.160	0.015	0.030	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
prospector	fsr-performance	3	renderer-stepped	orbit	119.4	8.37	5.99	0.21	6.246	0.124	0.016	0.022	0.096	0.157	0.014	0.039	5.000010	3149	928/54b/6c	25	928	f6334e798a915d7a	taa,depth_history_copy,groundcover_scatter
whiterun	taa	1	renderer-stepped	orbit	85.9	11.64	8.01	0.36	5.808	0.434	0.049	0.066	1.218	0.013	0.013	0.039	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	skin_palette,groundcover_scatter
whiterun	taa	2	renderer-stepped	orbit	86.3	11.58	8.16	0.35	6.013	0.467	0.049	0.065	1.128	0.013	0.013	0.039	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	skin_palette,groundcover_scatter
whiterun	taa	3	renderer-stepped	orbit	86.9	11.51	8.22	0.35	5.868	0.434	0.049	0.066	1.068	0.013	0.013	0.040	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	skin_palette,groundcover_scatter
whiterun	fsr-native-aa	1	renderer-stepped	orbit	82.8	12.07	8.58	0.34	6.012	0.474	0.047	0.064	0.872	0.230	0.013	0.043	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-native-aa	2	renderer-stepped	orbit	84.3	11.87	8.50	0.34	5.811	0.435	0.051	0.065	1.082	0.231	0.014	0.039	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-native-aa	3	renderer-stepped	orbit	82.4	12.13	8.28	0.37	5.764	0.436	0.049	0.065	1.120	0.231	0.014	0.041	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
whiterun	fsr-quality	1	renderer-stepped	orbit	101.8	9.82	6.33	0.35	9.011	0.208	0.026	0.034	0.821	0.171	0.013	0.035	5.000010	5777	1260/239b/12c	18	1235	49b2f81f5c955695	taa,skin_palette,groundcover_scatter
