build	crossings	full_avg_ms	full_max_ms	apply_samples	apply_avg_ms	apply_max_ms	apply_p50_ms	apply_p95_ms	unsettled_full	unsettled_lod	worker_avg_ms	worker_max_ms
baseline	3	9528.93	11537.01	113	25.84	131.94	20.35	61.87	0	0	8.76	20.03
fixed	3	8824.60	10705.65	131	22.38	73.78	18.63	43.92	0	0	8.39	17.90
