# harness=1293dfc0 engine=2da754e7 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash	gpu_inactive
prospector	fsr-native-aa	3	renderer-stepped	orbit	76.2	13.12	10.43	0.28	7.779	0.411	0.041	0.062	0.256	0.818	0.017	0.040	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-quality	1	renderer-stepped	orbit	96.1	10.41	7.67	0.28	8.448	0.200	0.022	0.032	0.157	0.179	0.013	0.032	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-quality	2	renderer-stepped	orbit	94.8	10.54	7.32	0.30	8.092	0.197	0.022	0.031	0.171	0.170	0.013	0.032	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-quality	3	renderer-stepped	orbit	95.8	10.43	7.68	0.29	8.035	0.197	0.022	0.032	0.155	0.170	0.012	0.032	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-balanced	1	renderer-stepped	orbit	98.6	10.14	7.20	0.29	8.202	0.160	0.017	0.026	0.124	0.162	0.012	0.032	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-balanced	2	renderer-stepped	orbit	112.9	8.86	6.51	0.26	7.798	0.179	0.018	0.027	0.122	0.188	0.012	0.031	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-balanced	3	renderer-stepped	orbit	111.0	9.01	6.21	0.29	7.401	0.160	0.017	0.027	0.125	0.163	0.013	0.032	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-performance	1	renderer-stepped	orbit	135.7	7.37	4.16	0.31	5.118	0.124	0.014	0.020	0.097	0.159	0.013	0.030	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-performance	2	renderer-stepped	orbit	136.8	7.31	4.58	0.29	4.968	0.124	0.014	0.020	0.095	0.151	0.013	0.029	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
prospector	fsr-performance	3	renderer-stepped	orbit	137.8	7.25	4.88	0.26	4.939	0.125	0.013	0.020	0.097	0.155	0.013	0.029	5.000010	3146	928/54b/6c	25	928	2064b9dfdf720227	taa,depth_history_copy
whiterun	taa	1	renderer-stepped	orbit	89.9	11.12	7.86	0.39	5.449	0.436	0.044	0.064	1.031	0.013	0.012	0.039	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	skin_palette
whiterun	taa	2	renderer-stepped	orbit	90.4	11.07	7.59	0.40	5.245	0.432	0.042	0.063	1.112	0.013	0.011	0.039	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	skin_palette
whiterun	taa	3	renderer-stepped	orbit	88.9	11.25	6.85	0.47	5.479	0.433	0.043	0.062	0.785	0.013	0.011	0.039	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	skin_palette
whiterun	fsr-native-aa	1	renderer-stepped	orbit	85.2	11.74	7.29	0.45	5.521	0.435	0.044	0.063	0.858	0.240	0.012	0.039	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-native-aa	2	renderer-stepped	orbit	88.6	11.29	7.66	0.40	5.600	0.657	0.050	0.255	0.842	0.236	0.013	0.039	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-native-aa	3	renderer-stepped	orbit	88.0	11.37	7.54	0.43	5.365	0.432	0.043	0.062	0.844	0.231	0.012	0.040	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-quality	1	renderer-stepped	orbit	108.5	9.22	5.33	0.41	8.116	0.208	0.023	0.032	0.506	0.528	0.019	0.034	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-quality	2	renderer-stepped	orbit	106.1	9.42	5.86	0.41	8.821	0.209	0.024	0.033	0.506	0.493	0.014	0.043	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-quality	3	renderer-stepped	orbit	108.9	9.18	5.82	0.40	8.392	0.208	0.024	0.032	0.502	0.179	0.013	0.034	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-balanced	1	renderer-stepped	orbit	109.4	9.14	5.69	0.39	10.311	0.169	0.019	0.027	0.432	0.169	0.012	0.041	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-balanced	2	renderer-stepped	orbit	105.6	9.47	5.14	0.43	10.075	0.167	0.018	0.026	0.429	0.169	0.012	0.036	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-balanced	3	renderer-stepped	orbit	110.7	9.04	5.66	0.40	11.284	0.170	0.018	0.026	0.714	0.166	0.013	0.060	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-performance	1	renderer-stepped	orbit	143.4	6.97	3.74	0.39	7.846	0.130	0.015	0.022	0.312	0.159	0.012	0.035	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-performance	2	renderer-stepped	orbit	142.8	7.00	3.57	0.39	7.438	0.129	0.015	0.022	0.314	0.152	0.013	0.035	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
whiterun	fsr-performance	3	renderer-stepped	orbit	146.3	6.84	4.08	0.37	7.092	0.131	0.015	0.020	0.621	0.160	0.013	0.035	5.000010	5765	1260/239b/12c	18	1235	0269d683d65698cd	taa,skin_palette
medtek	taa	1	renderer-stepped	orbit	27.1	36.85	15.70	3.82	33.859	0.335	0.038	0.052	2.146	0.014	0.012	0.039	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	skin_palette
medtek	taa	2	renderer-stepped	orbit	27.1	36.95	15.44	3.70	34.711	0.375	0.039	0.053	2.017	0.013	0.011	0.040	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	skin_palette
medtek	taa	3	renderer-stepped	orbit	26.4	37.85	15.53	3.85	36.042	0.335	0.040	0.053	2.066	0.013	0.012	0.039	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	skin_palette
medtek	fsr-native-aa	1	renderer-stepped	orbit	25.6	39.00	17.21	3.94	36.052	0.339	0.042	0.053	1.907	0.225	0.014	0.039	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-native-aa	2	renderer-stepped	orbit	25.8	38.83	17.10	3.83	37.760	0.337	0.047	0.054	1.990	0.226	0.015	0.039	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-native-aa	3	renderer-stepped	orbit	26.2	38.15	16.95	3.84	34.521	0.339	0.046	0.053	2.136	0.226	0.016	0.040	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-quality	1	renderer-stepped	orbit	46.8	21.36	0.54	3.74	16.708	0.500	0.025	0.027	0.998	0.170	0.015	0.033	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-quality	2	renderer-stepped	orbit	46.8	21.36	0.59	3.69	15.614	0.170	0.022	0.028	0.934	0.177	0.013	0.032	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-quality	3	renderer-stepped	orbit	44.4	22.51	0.72	3.94	17.174	0.456	0.024	0.028	0.993	0.179	0.035	0.039	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-balanced	1	renderer-stepped	orbit	44.7	22.36	0.34	4.01	14.814	0.139	0.018	0.023	0.802	0.160	0.014	0.032	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-balanced	2	renderer-stepped	orbit	43.8	22.84	0.38	4.05	14.405	0.139	0.017	0.023	0.611	0.169	0.013	0.037	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-balanced	3	renderer-stepped	orbit	43.7	22.88	0.26	3.94	15.437	0.139	0.020	0.024	0.757	0.167	0.013	0.037	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-performance	1	renderer-stepped	orbit	44.4	22.51	0.17	4.08	11.047	0.108	0.014	0.018	0.439	0.159	0.013	0.029	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-performance	2	renderer-stepped	orbit	44.3	22.59	0.20	3.95	10.670	0.106	0.014	0.018	0.434	0.334	0.015	0.034	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
medtek	fsr-performance	3	renderer-stepped	orbit	45.4	22.01	0.17	3.96	11.297	0.106	0.014	0.018	0.434	0.160	0.014	0.029	5.000010	39537	13545/1281b/29c	286	13038	2e8c37adc4f05389	taa,skin_palette
dugout	taa	1	renderer-stepped	orbit	96.4	10.38	2.84	0.68	5.328	0.592	0.036	0.048	0.317	0.013	0.011	0.039	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	skin_palette
dugout	taa	2	renderer-stepped	orbit	89.8	11.13	3.34	0.68	5.094	0.553	0.035	0.048	0.311	0.014	0.011	0.039	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	skin_palette
dugout	taa	3	renderer-stepped	orbit	102.2	9.79	2.70	0.66	5.430	0.516	0.040	0.048	0.309	0.013	0.011	0.071	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	skin_palette
dugout	fsr-native-aa	1	renderer-stepped	orbit	95.9	10.43	2.57	0.70	5.157	0.990	0.039	0.047	0.311	0.224	0.013	0.038	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-native-aa	2	renderer-stepped	orbit	91.6	10.92	3.57	0.66	5.154	0.543	0.039	0.048	0.334	0.221	0.014	0.039	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-native-aa	3	renderer-stepped	orbit	93.0	10.75	2.66	0.69	5.256	0.470	0.039	0.048	0.310	0.220	0.013	0.038	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-quality	1	renderer-stepped	orbit	102.1	9.80	3.52	0.61	9.301	0.154	0.020	0.026	0.203	0.166	0.013	0.032	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-quality	2	renderer-stepped	orbit	104.8	9.54	2.91	0.62	9.913	0.152	0.019	0.026	0.204	0.172	0.013	0.036	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-quality	3	renderer-stepped	orbit	102.6	9.75	3.40	0.61	9.794	0.153	0.019	0.026	0.204	0.166	0.012	0.032	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-balanced	1	renderer-stepped	orbit	120.1	8.32	1.62	0.63	7.151	0.124	0.016	0.020	0.171	0.168	0.013	0.035	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-balanced	2	renderer-stepped	orbit	121.6	8.22	1.28	0.65	7.118	0.124	0.016	0.020	0.170	0.166	0.013	0.035	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-balanced	3	renderer-stepped	orbit	123.7	8.09	1.43	0.65	7.123	0.155	0.016	0.022	0.174	0.167	0.013	0.035	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-performance	1	renderer-stepped	orbit	154.5	6.47	0.34	0.61	4.796	0.099	0.014	0.017	0.279	0.157	0.012	0.035	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-performance	2	renderer-stepped	orbit	132.5	7.55	0.26	0.65	4.646	0.099	0.014	0.017	0.165	0.156	0.012	0.036	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
dugout	fsr-performance	3	renderer-stepped	orbit	129.1	7.75	0.34	0.66	4.580	0.098	0.013	0.017	0.134	0.328	0.013	0.031	5.000010	11592	1935/326b/12c	156	1818	445982b75ea88208	taa,skin_palette
