# harness=4de5e78e engine=34074b93 mode=renderer-stepped camera=orbit runs=3 frames=300
scene	config	run	mode	camera	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	sim_time_s	entities	draws	lights	tlas	state_hash
prospector	fsr-balanced	2	renderer-stepped	orbit	167.4	5.97	3.78	0.28	4.224	0.158	0.011	0.009	0.095	0.163	0.013	0.027	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
prospector	fsr-balanced	3	renderer-stepped	orbit	169.2	5.91	3.87	0.26	4.071	0.158	0.012	0.010	0.096	0.163	0.012	0.026	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
prospector	fsr-performance	1	renderer-stepped	orbit	208.4	4.80	2.49	0.31	2.970	0.121	0.010	0.008	0.082	0.187	0.013	0.025	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
prospector	fsr-performance	2	renderer-stepped	orbit	215.6	4.64	2.84	0.24	2.850	0.122	0.010	0.008	0.082	0.151	0.013	0.029	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
prospector	fsr-performance	3	renderer-stepped	orbit	211.7	4.72	2.66	0.28	2.916	0.121	0.009	0.008	0.081	0.151	0.014	0.025	5.000010	3757	1214/54b/6c	25	1214	a484ea92f8f77a54
whiterun	taa	1	renderer-stepped	orbit	89.9	11.12	9.33	0.32	8.863	0.426	0.026	0.009	0.254	0.012	0.011	0.031	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	taa	2	renderer-stepped	orbit	89.9	11.13	9.51	0.30	9.128	0.462	0.025	0.009	0.253	0.012	0.011	0.032	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	taa	3	renderer-stepped	orbit	90.2	11.09	9.48	0.30	9.111	0.455	0.026	0.009	0.253	0.012	0.011	0.032	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-native-aa	1	renderer-stepped	orbit	86.7	11.53	9.69	0.29	9.144	0.466	0.024	0.009	0.252	0.228	0.013	0.035	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-native-aa	2	renderer-stepped	orbit	87.0	11.50	9.72	0.30	9.238	0.430	0.024	0.010	0.255	0.227	0.012	0.037	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-native-aa	3	renderer-stepped	orbit	87.1	11.49	9.78	0.29	9.032	0.430	0.024	0.010	0.253	0.228	0.012	0.036	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-quality	1	renderer-stepped	orbit	155.8	6.42	4.90	0.28	5.185	0.205	0.014	0.006	0.143	0.172	0.012	0.029	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-quality	2	renderer-stepped	orbit	159.3	6.28	4.98	0.26	4.902	0.334	0.014	0.006	0.145	0.208	0.013	0.031	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-quality	3	renderer-stepped	orbit	157.5	6.35	4.93	0.27	4.820	0.203	0.014	0.006	0.142	0.171	0.012	0.028	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-balanced	1	renderer-stepped	orbit	191.2	5.23	3.84	0.28	3.545	0.165	0.012	0.005	0.122	0.161	0.012	0.028	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
whiterun	fsr-balanced	2	renderer-stepped	orbit	194.8	5.13	3.94	0.26	3.542	0.163	0.012	0.005	0.123	0.163	0.013	0.028	5.000010	5183	1241/230b/12c	18	1215	ccc57c4ab8a2aad5
