sample	main_ms	opaque_ms	blended_ms	water_ms	gc_models_ms	gc_blades_ms
158	64.078	59.996	3.793	0.000	0.000	0.000
159	64.150	60.940	2.705	0.000	0.000	0.000
160	63.628	59.887	3.450	0.000	0.000	0.000
161	63.710	60.097	3.319	0.000	0.000	0.000
162	64.217	61.087	2.980	0.000	0.000	0.000
163	63.969	60.334	3.198	0.000	0.000	0.000
164	64.006	60.196	3.412	0.000	0.000	0.000
165	64.146	61.101	2.892	0.000	0.000	0.000
166	64.002	60.672	3.313	0.000	0.000	0.000
167	63.565	59.815	3.419	0.000	0.000	0.000
168	63.751	60.443	2.863	0.000	0.000	0.000
169	63.799	60.921	2.861	0.000	0.000	0.000
170	65.263	61.548	3.234	0.000	0.000	0.000
171	64.988	61.271	3.228	0.000	0.000	0.000
172	64.124	60.305	3.413	0.000	0.000	0.000
173	64.005	60.520	3.067	0.000	0.000	0.000
174	64.506	60.875	3.266	0.000	0.000	0.000
175	63.976	60.320	3.329	0.000	0.000	0.000
176	64.356	60.703	3.204	0.000	0.000	0.000
177	64.328	61.396	2.760	0.000	0.000	0.000
178	64.016	60.769	2.796	0.000	0.000	0.000
179	64.134	61.096	2.820	0.000	0.000	0.000
180	64.553	61.165	2.811	0.000	0.000	0.000
181	63.652	60.456	2.818	0.000	0.000	0.000
182	64.681	61.690	2.844	0.000	0.000	0.000
183	64.463	61.083	2.810	0.000	0.000	0.000
184	64.472	61.200	2.870	0.000	0.000	0.000
185	63.375	60.617	2.740	0.000	0.000	0.000
186	64.208	61.049	2.732	0.000	0.000	0.000
187	64.053	61.177	2.854	0.000	0.000	0.000
188	64.858	61.561	2.826	0.000	0.000	0.000
189	64.676	61.603	2.823	0.000	0.000	0.000
190	64.047	60.737	2.839	0.000	0.000	0.000
191	63.970	60.940	2.774	0.000	0.000	0.000
192	64.127	60.719	2.789	0.000	0.000	0.000
193	64.751	61.831	2.901	0.000	0.000	0.000
194	64.233	60.776	2.824	0.000	0.000	0.000
195	64.345	60.638	3.368	0.000	0.000	0.000
196	64.766	60.926	3.303	0.000	0.000	0.000
197	64.742	61.172	2.973	0.000	0.000	0.000
198	65.322	62.020	2.942	0.000	0.000	0.000
199	66.262	63.004	2.937	0.000	0.000	0.000
200	65.075	61.390	3.128	0.000	0.000	0.000
201	64.895	60.961	3.711	0.000	0.000	0.000
202	65.223	61.389	3.476	0.000	0.000	0.000
203	65.117	61.422	3.327	0.000	0.000	0.000
204	64.914	61.166	3.597	0.000	0.000	0.000
205	65.124	61.332	3.168	0.000	0.000	0.000
