scene	config	run	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	entities	draws
dugout	taa	1	69.8	14.32	7.10	0.62	27.842	0.328	0.048	0.077	0.297	0.013	0.012	0.068	11592	1874/131b/10c
dugout	taa	2	69.8	14.32	7.22	0.62	27.660	0.294	0.048	0.077	0.293	0.014	0.011	0.038	11592	1874/131b/10c
dugout	taa	3	70.4	14.21	7.41	0.59	27.681	0.292	0.050	0.078	0.316	0.012	0.011	0.039	11592	1874/131b/10c
medtek	taa	1	45.9	21.78	0.88	3.75	14.667	0.499	0.045	0.334	0.369	0.012	0.012	0.038	39537	13443/1080b/16c
medtek	taa	2	46.2	21.67	0.75	3.79	14.998	0.483	0.175	0.078	0.373	0.012	0.012	0.042	39537	13443/1080b/16c
medtek	taa	3	45.7	21.89	0.82	3.74	14.504	0.507	0.046	0.077	0.372	0.012	0.011	0.039	39537	13443/1080b/16c
