scene	config	run	wall_fps	wall_ms	fence_ms	brd_ms	gpu_main	gpu_svgf	gpu_composite	gpu_ssao	gpu_volumetrics	gpu_upscale	gpu_presentation	gpu_bloom	entities	draws
dugout	taa	1	31.6	31.64	29.22	0.85	27.937	0.622	0.032	0.038	0.245	0.474	0.007	0.030	6978	2471/121b/9c
dugout	taa	2	32.1	31.12	29.18	0.78	28.021	0.593	0.031	0.038	0.243	0.012	0.008	0.030	6978	2471/121b/9c
dugout	taa	3	32.0	31.23	29.36	0.78	28.317	0.630	0.210	0.040	0.248	0.012	0.008	0.030	6978	2471/121b/9c
medtek	taa	1	22.9	43.68	35.75	3.34	36.831	0.580	0.027	0.018	0.254	0.012	0.007	0.029	31495	14439/1310b/14c
medtek	taa	2	22.5	44.38	36.49	3.37	40.014	0.579	0.026	0.010	0.255	0.012	0.007	0.030	31495	14439/1596b/21c
medtek	taa	3	22.5	44.40	35.38	3.68	38.982	0.580	0.027	0.018	0.255	0.012	0.008	0.029	31495	14439/1310b/14c
